,date,ticker,close,volume,category,alpha_1,alpha_2,alpha_3,alpha_4,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20,alpha_21,alpha_22,alpha_23,alpha_24,alpha_26,alpha_28,alpha_29,alpha_30,alpha_31,alpha_33,alpha_34,alpha_35,alpha_37,alpha_38,alpha_39,alpha_40,alpha_43,alpha_44,alpha_45,alpha_46,alpha_49,alpha_51,alpha_52,alpha_53,alpha_54,alpha_55,alpha_60,alpha_68,alpha_85,alpha_88,alpha_92,alpha_95,alpha_99,alpha_101,frs_1,frs_2,frs_3
0,2021-03-03,XLB,37.54,47486824.0,ETF,,,,-1.0,,,,0.375,1.0,0.375,-0.13636363636363635,,-0.5,-0.09090909090909091,-0.0946656649135988,,,-0.13523666416228397,-1.0,,-0.14000000000000057,,,0.05447576985336615,,,,0.45454545454545453,0.5454545454545454,0.44444444444444453,,-0.2603305785123967,,,,-0.12107803491739241,,0.375,0.375,0.375,,,-0.010114649825579452,-0.2773500981125948,0.015151515151515166,0.0,,,,0.0,0.0,-0.45988258317024866,0.0539701168551594,0.48968976287966426,-0.001215819685219166
1,2021-03-10,XLB,39.03,120291426.0,ETF,,0.21596107309377285,0.2756589232099891,-1.0,0.40928786156716,-1.0,,-0.634999999999998,1.0,0.634999999999998,-0.6363636363636364,0.29766389932157095,,-0.5454545454545454,-0.1380540946656649,-0.6363636363636364,-1.8181818181818183,-0.18933132982719755,-1.0,,-0.605000000000004,-1.375,0.0979724647002494,0.028876171473431494,0.9272727272727272,0.09776819267531561,,0.45454545454545453,0.5454545454545454,0.0,,-0.4338842975206611,-1.4876033057851241,0.18380122338383642,0.015625,0.7452405554647961,0.16528925619841614,-0.634999999999998,-0.634999999999998,-0.634999999999998,0.1189090909090905,,-0.5726587776890675,0.2251886745555228,-0.06818181818181818,0.0,0.5763543890573053,,,0.0,0.0,0.5734536082474241,0.019652079583061477,0.23615295310559287,-0.02310599765481878
2,2021-03-17,XLB,39.415,52691398.0,ETF,0.045454545454545414,0.2532776344593065,0.05299989400031998,-0.2222222222222222,0.8778961717943141,-1.0,-0.2727272727272727,-0.3500000000000014,0.2727272727272727,0.3500000000000014,-0.13636363636363635,0.7182786860135297,-1.8333333333333333,-0.13636363636363635,-0.21036814425244177,-0.6363636363636364,-1.7272727272727273,-0.29451540195341847,-1.0,-0.1865471678619664,-0.09250000000000114,-0.07000000000000028,0.40824829046387734,0.07112560178119126,1.3727272727272726,0.07604423089649882,,0.2727272727272727,0.09090909090909091,0.0,,-0.7438016528925621,-0.628099173553719,0.3148607490452609,0.23076923076923078,0.4970408278006023,0.12396694214870943,-0.3500000000000014,-0.3500000000000014,-0.3500000000000014,-1.167272727272726,-1.0885416666666625,-0.7982719116757523,0.7142857142857143,-0.06060606060606061,0.0,0.718478477110882,0.18181818181818182,,1.0,0.0,0.6713164777680896,0.02829031354111522,0.3205302390494052,-0.016557585548617512
3,2021-03-24,XLB,38.325,77828520.0,ETF,0.40909090909090906,0.5067635923400577,0.2985111570629879,-0.5555555555555556,0.43968844545187435,-1.0,-0.45454545454545453,-0.2750000000000057,0.2727272727272727,0.2750000000000057,-0.09090909090909091,0.31977341487409044,-2.0,-0.09090909090909091,-0.31555221637866265,-0.8181818181818182,1.6363636363636362,-0.06761833208114199,1.0,0.06125740899145332,0.16250000000000142,0.6749999999999972,-0.4564354645876406,0.003666473219438835,1.5909090909090908,0.15417318955844206,,0.2727272727272727,0.18181818181818182,0.09259259259259259,,-0.4462809917355372,-0.8925619834710743,0.1653142939373337,0.48611111111111116,0.6188969884961311,0.2892561983470871,-0.2750000000000057,-0.2750000000000057,-0.2750000000000057,0.3043636363636362,-7.528571428572256,-0.16246196655048897,0.5850179393017039,-0.09090909090909091,0.0,0.9411507666697588,0.09090909090909091,,1.0,0.0,0.1644479248238113,0.08245271106235896,1.911665129057723,0.06148102959882786
4,2021-03-31,XLB,39.4,70908660.0,ETF,-0.2727272727272727,0.6078415402251353,-0.037904902178946626,-1.0,0.2879907056647101,-1.0,-0.5454545454545454,0.19500000000000028,0.7272727272727273,0.19500000000000028,-0.6363636363636364,0.052361946484492744,-3.0,-1.0,-0.11269722013523666,-0.18181818181818182,-1.6363636363636362,-0.1577761081893313,-1.0,0.06503477108732415,0.2950000000000017,0.4450000000000003,0.45833333333333476,-0.08227784502689037,1.3636363636363638,0.1803312683150295,0.4545454545454546,1.0,0.9545454545454546,0.0831758034026465,,-0.04132231404958678,-0.8925619834710743,0.22807705909275666,0.1625,-0.4692400245493867,0.3305785123972821,1.0,1.0,1.0,-0.015272727272728884,-3.7666666666664637,-0.21117077471851312,-0.6308932681440378,-0.06060606060606061,0.0,0.7895964634061015,0.3333333333333333,,1.0,0.0,-0.5498981670061142,0.05850177031363191,1.3222207724750872,0.03678282768447569
5,2021-04-07,XLB,39.63,61914966.0,ETF,0.0,0.4159931489265827,-0.21821789023599164,-0.4444444444444444,-0.19564874159500284,-1.0,-0.36363636363636365,0.6950000000000003,1.0,0.6950000000000003,-0.18181818181818182,-0.017786249235909348,-2.5,-0.9090909090909091,-0.02066115702479339,-0.09090909090909091,1.5454545454545454,-0.042073628850488355,-1.0,-0.1581763824677186,0.05250000000000199,0.11499999999999488,0.1767766952966372,-0.03945967627235851,1.390909090909091,0.11209859711991983,0.6363636363636362,1.0,0.5454545454545454,0.13580246913580246,,-0.02066115702479339,-0.2809917355371901,-0.09402411282129478,1.0,-0.8064161048330032,0.08264462809918123,0.6950000000000003,0.6950000000000003,0.6950000000000003,-1.043181818181817,3.1344537815127023,-0.11753929204932771,0.5730698830937598,0.060606060606060594,0.0,0.8840261192556126,0.9090909090909091,,1.0,-1.0,-0.804084237396294,0.08856938009297455,1.7014208472251853,0.06329458954130263
6,2021-04-14,XLB,40.36,49568634.0,ETF,0.40909090909090906,0.32959475560574714,0.21821789023600088,-0.7777777777777778,-0.12111181334153383,-1.0,-0.2727272727272727,-0.28999999999999915,0.18181818181818182,-0.28999999999999915,-0.5,-0.08808131879384279,,-0.5,-0.25244177310293014,-0.5454545454545454,-1.5454545454545454,-0.16829451540195342,-1.0,0.2965648949245301,-0.3125,-0.33500000000000085,-0.8668451156610755,-0.07953539222181451,1.1,0.06643626657347981,0.36363636363636354,0.36363636363636365,0.18181818181818182,0.0,,-0.6942148760330579,-0.5619834710743802,-0.003736932220803765,0.15000000000000002,0.5099567572345844,-0.2644628099173865,-0.28999999999999915,-0.28999999999999915,-0.28999999999999915,-0.04772727272727272,-3.309090909090851,-0.6085842542146405,0.3436040663720252,-0.05303030303030304,0.0,0.9606605683724367,0.5454545454545454,,1.0,0.0,0.592930444697829,0.05995954653359825,0.7463187177962546,0.020271456156452254
7,2021-04-21,XLB,41.485,57356796.0,ETF,0.31818181818181823,0.20193176393318032,,-1.0,-0.6960101005428787,-1.0,-0.9090909090909091,-0.740000000000002,0.2727272727272727,-0.740000000000002,-0.09090909090909091,-0.44291551852728644,,-0.18181818181818182,-0.22483095416979715,-0.7272727272727273,-1.8181818181818183,-0.14725770097670923,-1.0,-0.3694651208625185,-0.12999999999999545,-0.15500000000000114,-0.7288689868556595,-0.04412958980555098,1.2545454545454546,0.13384657806915937,0.09090909090909083,0.18181818181818182,0.18181818181818182,0.0,,-0.7851239669421487,-1.4876033057851241,-0.5135437387506739,0.20625000000000002,-0.773051121060778,-0.09917355371933816,-0.740000000000002,-0.740000000000002,-0.740000000000002,-0.22909090909090846,-0.17074592074592743,-0.85993480224095,-0.11197850219116393,-0.09848484848484851,0.0,0.5758430418231928,,,1.0,-1.0,0.8784596871239451,0.04085735790362088,0.5705935533967572,0.005178741176462831
8,2021-04-28,XLB,41.705,50340616.0,ETF,0.31818181818181823,0.7175473098524101,,-1.0,0.13749671895958782,-1.0,-0.5454545454545454,-0.11499999999999488,0.18181818181818182,0.11499999999999488,-0.36363636363636365,0.03749910517079667,,-0.45454545454545453,-0.14274981217129978,-0.7272727272727273,-1.9090909090909092,-0.16228399699474075,-1.0,0.5948301095569658,0.05999999999999517,-0.25,0.7222222222222251,-0.11621862040276082,1.6363636363636362,0.049028346382872845,-0.2727272727272727,0.18181818181818182,0.45454545454545453,0.0025634765625,,-0.7851239669421487,-1.2148760330578512,0.08797202742327366,0.08750000000000001,0.5861505499741773,0.2909090909084394,-0.11499999999999488,-0.11499999999999488,-0.11499999999999488,-0.04231818181818222,0.827586206896603,-0.49433112438936416,-0.3241018617760745,-0.09848484848484851,0.0,0.7016294209228657,,,0.0,0.0,0.27065527065526634,0.0389642546844573,0.5392557957759566,0.002907580513148003
9,2021-05-05,XLB,43.14,65065376.0,ETF,0.31818181818181823,0.5229577884350203,-0.16265001215809496,-1.0,-0.4607657902755786,-1.0,-0.7272727272727273,-0.5399999999999991,0.18181818181818182,0.5399999999999991,-0.8181818181818182,-0.41887799115961694,-1.0,-0.9090909090909091,-0.2854996243425995,-0.9090909090909091,-2.0,-0.2231404958677686,-1.0,-1.2293146982163379,-0.8200000000000003,-1.6199999999999974,-0.8040302522073666,-0.11794996856879482,1.0272727272727273,0.053209160708000865,-0.5454545454545454,0.18181818181818182,0.2727272727272727,0.0,,-0.7851239669421487,-1.6363636363636365,-0.2081938670531201,0.11875,-0.294590065539709,0.33057851239715547,1.0,-0.5399999999999991,-0.5399999999999991,-0.30218181818181616,-12.258145363409836,-0.8530813138437301,-0.41770392659051525,-0.1287878787878788,0.0,0.39866365303899276,0.09090909090909091,,0.0,-1.0,0.5772230889235525,0.016921904567653634,0.4614705967361219,-0.001434445647500688
